Features,Importance
Paralysis ,0.09111142712642137
Voice ,0.12429099585962332
Feeding_Tube ,0.005432143148406123
Vision ,0.1280058294475826
Cognitive ,0.010369166482199927
Perception ,0.0003112356053532542
Dressing ,0.16794626941685756
Incontinence ,0.14103319893400634
Emotions ,0.17805616998235224
Sex ,0.15344356399719727
