Features,Importance
Paralysis ,0.059986019979996204
Voice ,0.12034437007448305
Feeding_Tube ,0.05260964074800361
Vision ,0.08754947288206073
Cognitive ,0.1353219551851259
Perception ,0.13031040602620533
Dressing ,0.08788127124596688
Incontinence ,0.08137349397632725
Emotions ,0.15144927558014606
Sex ,0.09317409430168508
